id	TF	ctype
PrileiEVm006891t1	HNF4	gut
PrileiEVm004665t1	plei_RXR_gut	gut
PrileiEVm008019t1	plei_zfC4_gut	gut
PrileiEVm008071t1	MYOD	muscle
PrileiEVm014648t1	plei_bHLH_muscle	muscle
PrileiEVm000431t1	MYTL1	neuron
PrileiEVm003917t1	POU6F	neuron
PrileiEVm001926t1	plei_ZBTB_lipox	lipoxygenase_pos
PrileiEVm002870t1	plei_bHLH_glob	globin_pos
PrileiEVm005469t1	plei_zfC4_glob	globin_pos
PrileiEVm005230t1	ETS4	eleocytes
PrileiEVm005896t1	plei_ZBTB_vig	vigilin_pos
PrileiEVm006907t1	plei_CUT_vig	vigilin_pos
PrileiEVm010161t1	plei_Tub_poly	polycystin_pos
PrileiEVm004244t1	nkx-2-1	gut
PrileiEVm004832t1	gata-4	gut
PrileiEVm005298t1	nkx-2-2	gut
